0010732025  -0.43  -0.72  -0.90  -0.13   1.29   1.98   1.54  -0.10 -99.99 -99.99 -99.99 -99.99   
0020731895 -99.99 -99.99   0.31  -1.59  -1.45  -1.00  -1.15  -0.68  -0.72  -0.08   0.82   0.46   
0020731896   0.09  -1.48  -1.17  -1.16  -0.77  -1.00   1.09   1.07   1.16   1.60   1.24   0.66   
0020731897   0.64   0.68   0.85  -0.39  -0.62  -1.23  -1.20  -1.12   0.12   0.59   0.42  -0.85   
0020731898  -0.18  -0.30  -0.20  -0.83   0.07   1.01   0.72   0.44  -0.63  -1.38  -1.78  -0.39   
0020731899   0.09  -0.11  -1.15  -1.57  -2.06  -0.22   0.02  -0.23  -0.82  -0.91  -0.66  -1.00   
0020731900  -1.67  -2.00  -1.48   0.18   0.79   1.33  -2.02  -2.07  -1.67  -0.85   0.36  -0.45   
0020731901  -0.14   0.29   0.60   0.43  -0.66  -0.71  -0.46  -0.76  -1.28  -1.07  -1.26  -1.22   
0020731902  -1.36  -1.25  -0.80  -1.23  -0.71  -1.06  -1.77  -1.40  -1.37  -1.07  -0.17   0.28   
0020731903   0.25  -0.29  -0.47   0.05   0.05   0.52  -0.24  -0.65  -0.42  -0.56  -0.73  -2.14   
0020731904  -3.09  -1.79  -1.59  -1.53  -1.13  -0.95   0.29   1.26   0.84   0.38  -1.45  -1.07   
0020731905   0.45   1.97   2.86   3.09   2.62   2.04  -0.86  -1.22  -0.45  -0.41   2.16   1.47   
0020731906   1.42   0.06   0.61   1.03   1.12  -0.07  -0.09   0.88   0.52  -0.30  -0.43   1.55   
0020731907   2.06   1.54   0.64   0.02   0.64   0.80   0.34   0.41  -0.02   1.14   0.60   0.31   
0020731908  -0.66   0.30   0.68   0.94   0.13   0.19   1.00   1.04   0.97   0.12  -0.50   0.98   
0020731909   0.94   1.12   0.40   0.31  -0.12  -1.52   0.02   1.79   1.68   0.94  -0.51  -0.09   
0020731910   0.59   0.02  -0.63  -1.15  -0.76  -0.39  -0.03  -0.03  -0.63  -1.09   0.04   0.15   
0020731911   0.90   0.62   0.98   0.50  -0.28  -0.24   1.67   0.99   1.41   1.15   1.06  -0.16   
0020731912  -2.27  -1.81   0.14   1.11   1.85   1.09   1.41   1.03   0.09   0.08  -0.38   0.02   
0020731913  -1.19   0.33   0.25   0.47  -1.39  -1.14  -0.53  -0.41  -0.39  -0.80   0.29   0.35   
0020731914   0.67   0.11  -0.04  -0.25  -0.43   0.49   1.81   1.15   0.41   0.38   0.59   1.94   
0020731915   1.65   1.84   1.09   1.13   0.95   1.71   1.13   0.00  -0.40  -1.69  -0.95   0.47   
0020731916   2.05   1.71   1.43  -0.08   0.26  -0.71   0.20   0.29   0.73   1.17   0.52   0.03   
0020731917   0.21   0.46   0.20   0.02   0.69   1.66   1.65   0.20   0.36  -1.28  -1.34  -2.35   
0020731918  -0.81  -0.21   0.72   0.30   0.22  -0.07   0.53   0.62  -0.25  -0.62  -0.29   0.68   
0020731919   0.42   0.31  -0.14   0.36   0.43   0.60   2.72   1.81   2.24   0.66   1.98   0.81   
0020731920   1.14   1.03   1.47   1.22   0.48   0.39  -0.49  -0.62  -1.01   0.02  -0.29  -0.67   
0020731921  -1.21  -1.10  -0.91  -1.18  -0.53   0.10   2.10   2.57   1.84   0.79  -0.63   0.35   
0020731922   0.64   0.59   0.34   0.00   0.46   0.65   0.31   0.53   0.12  -0.30  -0.32  -0.46   
0020731923  -0.22  -0.57  -0.31  -0.07  -0.02  -0.41   0.29   0.90   1.32   0.66   1.05   1.47   
0020731924   1.05  -0.16  -0.90  -0.10   0.58  -0.25  -0.62  -1.51  -1.43  -1.60  -1.01  -0.16   
0020731925  -0.46  -0.49  -1.20  -0.25   0.27   1.16   0.43   0.40   0.41   1.31   1.22   0.39   
0020731926  -0.71  -0.88  -0.06   1.32   2.08   2.38   0.05  -1.11  -0.08  -0.23   0.15   0.58   
0020731927   0.34   1.12   0.51   1.05   0.12   0.72   0.24   0.66   1.06   1.11   0.53  -0.06   
0020731928  -0.43   0.22  -0.46  -0.03  -0.46  -0.14  -0.45  -0.95  -1.30  -0.71  -0.46  -0.05   
0020731929  -0.34  -0.47  -0.74  -0.55  -0.56  -0.27   0.60   0.96   1.44   0.57  -0.33  -1.75   
0020731930  -0.54  -0.47   0.57   0.24   1.18   0.93   1.52   0.75   0.48  -0.52   0.16  -0.38   
0020731931  -0.36   0.44   0.58   1.37   0.22   1.52   0.70   1.52   1.18   1.00   1.20   1.23   
0020731932   1.02   0.89   0.42   0.66  -0.67   0.18   0.72   0.27  -0.19  -0.47  -0.89   0.17   
0020731933   0.50   0.60  -0.34  -0.89  -0.82   0.57   0.18  -0.30  -0.11   0.11   0.68  -0.10   
0020731934  -0.83  -1.08  -1.18  -0.60  -0.13   0.75  -0.54   0.03  -0.38  -0.44  -1.02  -0.10   
0020731935   0.84   1.13   1.14   0.91   0.64   0.21  -0.50   0.52   0.79   0.59  -0.23  -0.56   
0020731936  -0.14   0.08   0.14   0.19  -0.57  -1.03   0.30   0.32   0.46   0.15   0.11   0.62   
0020731937   0.81   0.88   0.84   0.54   0.45  -0.24   0.05  -0.44  -0.17  -0.51  -0.64  -0.92   
0020731938  -0.69   0.16   0.74   0.93   0.79   0.31  -0.15  -0.15  -0.82  -0.95  -1.53  -0.39   
0020731939   0.20   0.53  -0.04   0.00  -0.31  -0.60  -1.66  -0.95   0.72   0.93   1.29  -0.56   
0020731940  -0.32  -0.11  -0.13   0.24  -0.37   0.98  -0.79  -0.56   0.45   1.64   1.83   1.93   
0020731941   1.62   1.73   1.67   2.30   2.51   2.33   0.30  -0.06   0.49   1.19   1.20   1.10   
0020731942   0.34   0.19  -0.67   0.12  -0.09   0.21  -1.42  -0.90  -0.99  -0.59  -0.90  -0.45   
0020731943  -0.01   0.06   0.26  -0.10   0.19  -0.35  -1.66  -0.29   0.07   0.74  -0.32  -0.36   
0020731944  -0.40   0.62   0.54   0.98   0.59   0.50  -1.11  -1.66  -1.15  -0.72   0.61   0.40   
0020731945   0.57  -0.24   0.33   0.19   0.45  -1.82  -0.32   0.23  -0.33  -0.37  -1.25  -0.35   
0020731946  -0.42  -0.41  -0.81  -0.78  -0.34  -0.27  -0.03   0.62   1.33   1.14   1.09   0.27   
0020731947  -0.16  -1.12  -2.14  -2.46  -1.11  -0.31  -0.96  -0.19  -0.46   0.50  -0.18   0.27   
0020731948  -0.51  -0.23  -0.33  -0.01  -0.73  -1.17  -0.74  -0.42  -0.79  -0.25  -0.72   0.15   
0020731949   0.95   0.98   0.56  -0.74  -0.48   0.64   0.58  -0.29  -0.30  -0.23   0.10  -0.10   
0020731950  -0.52  -0.27  -0.71  -0.84  -1.57  -1.26   1.04  -0.06  -0.35  -1.94  -1.55  -2.19   
0020731951  -0.98  -0.78  -0.43  -0.01   0.60   1.15  -0.50   1.33   0.93   1.55   0.05   0.93   
0020731952   0.90   0.42   0.71   1.13   1.70   1.72   0.01  -0.05  -0.24  -0.83   0.33   0.20   
0020731953   0.26  -0.80  -0.87  -0.29  -0.11  -0.33   1.08   0.71  -0.11  -1.66  -1.86  -1.49   
0020731954  -0.64  -0.62   0.65   0.41   1.03   0.06   1.24   0.63   0.55  -0.37  -0.74  -1.54   
0020731955  -0.29  -0.19  -0.30  -1.75  -2.21   0.05   1.56   2.40   1.09  -0.17  -1.65  -1.10   
0020731956  -0.53  -0.58  -0.96  -1.37  -1.75  -0.37  -0.07  -0.80  -1.70  -1.97  -1.88  -1.63   
0020731957   0.15   0.31   0.72  -0.29   0.59   1.27   1.03   0.72  -0.34   0.95   0.61   0.85   
0020731958  -0.87  -0.37   0.72   1.51   1.57   1.08  -0.49  -0.31   0.66   1.23   1.05  -0.72   
0020731959  -1.59  -0.96  -1.01  -0.56  -1.83  -0.27  -0.09   0.97   0.18   1.04   0.18   1.66   
0020731960   1.12   0.95  -0.08  -0.74  -0.83  -0.62  -1.27  -1.46  -1.28   0.17   0.51   0.23   
0020731961  -0.65  -1.02  -0.61  -0.73  -0.23  -1.29  -0.58   0.49   0.49   0.65  -0.07   0.42   
0020731962   0.58   0.67   0.27  -0.27  -0.96  -1.11  -1.08  -1.86  -1.02  -0.51   0.55  -0.12   
0020731963  -0.30  -0.15  -0.32  -0.10  -0.70  -1.14  -2.15   0.56   0.83   1.73   0.74  -0.09   
0020731964  -0.72  -1.94  -1.00  -0.34   0.28   0.08   0.31   0.64   1.04   0.37   0.11  -0.42   
0020731965   0.26   0.33   0.51   0.99   1.30   1.89   0.76  -0.29  -0.18  -0.79   0.54   2.24   
0020731966   1.91   1.49  -0.41  -0.55  -1.64  -0.83  -0.05   0.10   0.41   0.15   0.18   0.10   
0020731967  -0.11  -0.72  -1.61  -1.30  -0.40   0.49   1.35   1.23   1.26   0.25   0.11   1.35   
0020731968   1.18   0.98  -0.29   0.09   0.04  -0.22   0.45   0.38  -0.39  -1.03  -0.99  -0.12   
0020731969   0.42   0.43   0.38  -0.21   0.00  -0.07   0.64   0.06   0.25   0.04   0.40  -0.03   
0020731970  -0.56  -1.31   0.09   0.60   1.03  -0.76  -0.61  -0.02   0.61   0.41  -0.01  -0.86   
0020731971  -1.22  -0.99  -1.65  -1.19  -1.24  -0.62  -0.97   0.62   0.96   2.11   0.72   0.66   
0020731972  -0.63  -1.06  -3.09  -3.09  -2.57   0.47   0.07  -0.16  -0.88   2.08   2.50   2.32   
0020731973   0.34   0.52   1.38   1.70   1.77   0.75   0.24  -0.99  -2.09  -2.30  -1.48  -1.38   
0020731974  -0.05  -0.69  -0.16  -1.21  -0.86  -2.20   0.04  -0.41  -0.17   0.50   0.88   0.49   
0020731975  -0.83  -0.75  -0.13   0.41   0.67   0.00   0.04  -1.09  -0.42  -1.30   0.01  -0.46   
0020731976  -0.54  -0.09  -0.24   0.69   0.68   1.30   1.18  -0.71   0.43  -0.14   0.56  -0.86   
0020731977  -0.55  -0.77  -0.69  -1.25  -0.46   0.21   0.28   0.04   0.13   0.35   0.08  -0.16   
0020731978   0.75   1.35   2.13   1.78   1.64   0.30  -0.67  -1.31  -1.48  -0.41   1.82   2.73   
0020731979   2.59   1.60   1.33   0.36   1.24   0.81   0.14  -0.66  -1.48  -1.11  -1.29  -0.71   
0020731980   0.65   1.65   2.05   1.77   0.75   0.10  -0.57  -0.91  -0.90  -0.97  -1.15  -1.44   
0020731981  -1.34  -0.76   0.31   0.59   1.17   0.77   0.88   0.16   0.10   0.02   0.59  -0.21   
