ID_state,ID_year,Quarter,pcpn,tmax,tmin,tmpc
1,2022,Q1,0.6445340289305194,0.616117216117216,0.5379166666666666,0.5816940987555199
1,2022,Q2,0.5548968460991226,0.8443223443223444,0.8204166666666668,0.8430349257326375
1,2022,Q3,0.5665164809106,0.8912087912087912,0.91875,0.916097952629466
1,2022,Q4,0.5107896608963718,0.6567765567765569,0.6100000000000001,0.6386993175431553
1,2023,Q1,0.6229547071377758,0.6571428571428571,0.6183333333333334,0.6427137695704538
1,2023,Q2,0.5767133032961822,0.816117216117216,0.8,0.8177438779606583
1,2023,Q3,0.5032013279582641,0.9175824175824175,0.9233333333333335,0.932557205941389
1,2023,Q4,0.41427555133981503,0.6684981684981687,0.6208333333333333,0.6503412284223203
1,2024,Q1,0.6687218401707375,0.6131868131868132,0.5620833333333333,0.5921316740264955
1,2024,Q2,0.5499170026084895,0.8402930402930403,0.8324999999999999,0.8462464873544759
1,2024,Q3,0.5778989803177614,0.906959706959707,0.9279166666666668,0.9289441991168205
1,2024,Q4,0.44628883092245675,0.6948717948717948,0.65375,0.6804496186270574
1,2025,Q1,0.531420441071852,0.6113553113553114,0.5404166666666667,0.5800883179446006
1,2025,Q2,0.7555133981503439,0.834065934065934,0.8358333333333334,0.8446407065435567
1,2025,Q3,0.14986957552762625,0.21428571428571427,0.2375,0.2167804094741068
2,2015,Q1,0.31041024424946645,0.6307692307692307,0.5379166666666666,0.5897230028101164
2,2015,Q2,0.2788712354754565,0.8183150183150183,0.7104166666666667,0.7755921316740264
2,2015,Q3,0.35380602323926963,0.9260073260073258,0.875,0.9140907266158168
2,2015,Q4,0.30305904671567463,0.6256410256410256,0.5458333333333334,0.5909273384183059
2,2016,Q1,0.2689115484941902,0.6208791208791209,0.49833333333333335,0.565234845443597
2,2016,Q2,0.2677258714726109,0.8340659340659341,0.7233333333333334,0.7904456041750301
2,2016,Q3,0.35214607540905857,0.92014652014652,0.8591666666666669,0.9032517061421116
2,2016,Q4,0.30732748399336024,0.6681318681318682,0.5829166666666666,0.6318747490967482
2,2017,Q1,0.31491581693146786,0.6014652014652014,0.5287499999999999,0.5692492974708953
2,2017,Q2,0.24187811240218168,0.8531135531135531,0.7204166666666667,0.8000802890405461
2,2017,Q3,0.3421863884277923,0.9274725274725275,0.8633333333333333,0.909273384183059
2,2017,Q4,0.23049561299502017,0.7073260073260073,0.5829166666666665,0.653552790044159
2,2018,Q1,0.2753142044107185,0.6120879120879121,0.5025000000000001,0.5624247290244883
2,2018,Q2,0.23855821674175956,0.8710622710622709,0.7362500000000001,0.8169409875551987
2,2018,Q3,0.3542802940479014,0.9494505494505495,0.8837499999999998,0.9313528703331995
2,2018,Q4,0.3134930045055727,0.6153846153846155,0.5441666666666667,0.5845042151746287
2,2019,Q1,0.35570310647379655,0.5490842490842491,0.47791666666666666,0.5158570855078283
2,2019,Q2,0.2563433720654494,0.8087912087912089,0.6916666666666667,0.7615415495784825
2,2019,Q3,0.3056675361631492,0.9505494505494504,0.8758333333333332,0.927739863508631
2,2019,Q4,0.33554659710694806,0.6351648351648352,0.5408333333333333,0.5933360096346849
2,2020,Q1,0.31942138961346933,0.5791208791208792,0.49000000000000005,0.5383380168606986
2,2020,Q2,0.23832108133744367,0.8571428571428571,0.7233333333333334,0.8032918506623846
2,2020,Q3,0.25990040313018736,0.9794871794871794,0.8833333333333332,0.9474106784423926
2,2020,Q4,0.24282665401944512,0.6824175824175824,0.5475,0.6230429546366921
2,2021,Q1,0.28005691249703585,0.5802197802197803,0.4716666666666667,0.5299076676033722
2,2021,Q2,0.2368982689115485,0.8670329670329667,0.7379166666666667,0.8157366519470093
2,2021,Q3,0.39909888546359973,0.9307692307692307,0.8825,0.9201124046567642
2,2021,Q4,0.28693383922219584,0.6637362637362639,0.5654166666666667,0.6214371738257727
2,2022,Q1,0.25658050746976524,0.5923076923076924,0.46375,0.5331192292252108
